time,condition,trialnumber,referenceAngle,distractorAngle,angledifference,answer,correct,location,duration
5/11/2023 3:35:21 PM,MapView,1,0,-2,2,0,True,0,2.96019
5/11/2023 3:35:24 PM,MapView,2,0,0,0,1,False,0,2.839664
5/11/2023 3:35:28 PM,MapView,3,0,8,-8,1,True,0,4.293674
5/11/2023 3:35:31 PM,MapView,4,0,-6,6,0,True,0,3.012939
5/11/2023 3:35:34 PM,MapView,5,0,10,-10,1,True,0,2.893265
5/11/2023 3:35:38 PM,MapView,6,0,-4,4,0,True,0,3.507011
5/11/2023 3:35:41 PM,MapView,7,0,-2,2,0,True,0,3.17308
5/11/2023 3:35:44 PM,MapView,8,0,-4,4,0,True,0,3.333435
5/11/2023 3:35:48 PM,MapView,9,0,-10,10,0,True,0,3.41349
5/11/2023 3:35:51 PM,MapView,10,0,-6,6,0,True,0,3.706795
5/11/2023 3:35:55 PM,MapView,11,0,-6,6,0,True,0,3.573456
5/11/2023 3:35:59 PM,MapView,12,0,10,-10,1,True,0,3.640175
5/11/2023 3:36:01 PM,MapView,13,0,6,-6,1,True,0,2.558884
5/11/2023 3:36:05 PM,MapView,14,0,-10,10,0,True,0,3.479477
5/11/2023 3:36:07 PM,MapView,15,0,10,-10,1,True,0,2.544815
5/11/2023 3:36:11 PM,MapView,16,0,0,0,1,False,0,3.707893
5/11/2023 3:36:16 PM,MapView,17,0,8,-8,1,True,0,5.506866
5/11/2023 3:36:19 PM,MapView,18,0,-8,8,0,True,0,3.012581
5/11/2023 3:36:23 PM,MapView,19,0,2,-2,0,False,0,3.733589
5/11/2023 3:36:26 PM,MapView,20,0,6,-6,1,True,0,2.545662
5/11/2023 3:36:29 PM,MapView,21,0,-8,8,0,True,0,2.853966
5/11/2023 3:36:32 PM,MapView,22,0,-8,8,0,True,0,3.065887
5/11/2023 3:36:35 PM,MapView,23,0,6,-6,1,True,0,2.96006
5/11/2023 3:36:37 PM,MapView,24,0,-2,2,0,True,0,2.786499
5/11/2023 3:36:40 PM,MapView,25,0,-8,8,0,True,0,2.986877
5/11/2023 3:36:44 PM,MapView,26,0,2,-2,1,True,0,3.69371
5/11/2023 3:36:48 PM,MapView,27,0,4,-4,1,True,0,3.546738
5/11/2023 3:36:51 PM,MapView,28,0,-4,4,0,True,0,3.266434
5/11/2023 3:36:54 PM,MapView,29,0,8,-8,1,True,0,3.212555
5/11/2023 3:36:59 PM,MapView,30,0,4,-4,1,True,0,4.960571
5/11/2023 3:37:03 PM,MapView,31,0,10,-10,1,True,0,3.359604
5/11/2023 3:37:06 PM,MapView,32,0,0,0,0,False,0,3.413467
5/11/2023 3:37:10 PM,MapView,33,0,-2,2,0,True,0,3.813751
5/11/2023 3:37:13 PM,MapView,34,0,0,0,0,False,0,3.53331
5/11/2023 3:37:17 PM,MapView,35,0,4,-4,1,True,0,3.440063
5/11/2023 3:37:20 PM,MapView,36,0,-8,8,0,True,0,3.186508
5/11/2023 3:37:23 PM,MapView,37,0,2,-2,1,True,0,3.05336
5/11/2023 3:37:26 PM,MapView,38,0,8,-8,1,True,0,3.333786
5/11/2023 3:37:30 PM,MapView,39,0,2,-2,1,True,0,3.439789
5/11/2023 3:37:33 PM,MapView,40,0,2,-2,1,True,0,3.386597
5/11/2023 3:37:37 PM,MapView,41,0,8,-8,1,True,0,3.98674
5/11/2023 3:37:41 PM,MapView,42,0,6,-6,1,True,0,3.613144
5/11/2023 3:37:45 PM,MapView,43,0,-4,4,0,True,0,3.600052
5/11/2023 3:37:48 PM,MapView,44,0,0,0,1,False,0,3.413345
5/11/2023 3:37:52 PM,MapView,45,0,4,-4,1,True,0,3.720367
5/11/2023 3:37:55 PM,MapView,46,0,-2,2,0,True,0,3.386765
5/11/2023 3:37:58 PM,MapView,47,0,6,-6,1,True,0,3.346954
5/11/2023 3:38:02 PM,MapView,48,0,-6,6,0,True,0,3.039703
5/11/2023 3:38:07 PM,MapView,49,0,-6,6,0,True,0,5.694092
5/11/2023 3:38:12 PM,MapView,50,0,-10,10,0,True,0,4.946655
5/11/2023 3:38:15 PM,MapView,51,0,-10,10,0,True,0,2.600037
5/11/2023 3:38:18 PM,MapView,52,0,4,-4,1,True,0,3.09288
5/11/2023 3:38:21 PM,MapView,53,0,-4,4,0,True,0,3.240036
5/11/2023 3:38:25 PM,MapView,54,0,-10,10,0,True,0,3.425613
5/11/2023 3:38:27 PM,MapView,55,0,10,-10,1,True,0,2.813599
