trialnum,time,state,mapAngle,viewAngle,posx,posy,posz,rotx,roty,rotz,gazex,gazey,gazez
1,0.01592255,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.128428,76.12138,0.108633,-995.556,-999.9156,-998.9296
1,0.02680969,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.102311,76.13651,0.1065727,-995.5616,-999.8281,-998.8934
1,0.0400238,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.071237,76.15199,0.105125,-995.5768,-999.6393,-998.8032
1,0.05335236,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.049412,76.17395,0.09648664,-995.5861,-999.5162,-998.7471
1,0.06687164,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.056162,76.19397,0.0843506,-995.5917,-999.4611,-998.7165
1,0.08001709,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.058614,76.22495,0.0661033,-995.591,-999.4616,-998.7183
1,0.09340668,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.080415,76.27154,0.05705006,-995.5922,-999.4345,-998.7081
1,0.1066666,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.110969,76.3093,0.04762849,-995.5937,-999.4266,-998.6978
1,0.1199951,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.13628,76.33255,0.0408046,-995.5933,-999.4257,-998.6962
1,0.1333084,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.157678,76.35442,0.04097263,-995.5923,-999.4275,-998.6981
1,0.1466599,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.164896,76.37567,0.03367851,-995.5921,-999.4216,-998.6961
1,0.1599121,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.16871,76.39035,0.01958466,-995.5917,-999.4269,-998.6973
1,0.1734314,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.16184,76.40968,359.985,-995.5917,-999.4216,-998.6958
1,0.1867142,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.165744,76.4231,359.9505,-995.5917,-999.4184,-998.6951
1,0.1999969,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.160799,76.43056,359.9315,-995.5911,-999.4183,-998.6967
1,0.2134323,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.168204,76.43625,359.9152,-995.5907,-999.4142,-998.6979
1,0.2269897,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.176037,76.448,359.8908,-995.5912,-999.413,-998.6949
1,0.240036,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.178495,76.45739,359.8755,-995.5907,-999.4135,-998.6965
1,0.2532959,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.172135,76.47373,359.8548,-995.5905,-999.4136,-998.6976
1,0.2666702,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.156926,76.48455,359.8313,-995.5906,-999.4109,-998.6966
1,0.2808228,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.145652,76.50634,359.8153,-995.5905,-999.4097,-998.6979
1,0.2932205,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.136499,76.52041,359.8055,-995.5894,-999.4061,-998.7023
1,0.3067932,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.11839,76.53071,359.7966,-995.5757,-999.412,-998.7608
1,0.3199844,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.106639,76.54686,359.7937,-995.5483,-999.4847,-998.8881
1,0.3333817,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.093704,76.55952,359.7873,-995.5341,-999.5328,-998.9558
1,0.3465958,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.078034,76.57266,359.7861,-995.5341,-999.5319,-998.957
1,0.3599396,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.052954,76.57739,359.7756,-995.5275,-999.5656,-998.9909
1,0.37323,Show Map Crossing: 0,0,0,-1000,-1000,-1000,2.016312,76.57991,359.7428,-995.524,-999.5799,-999.009
