trialnum,time,state,mapAngle,viewAngle,posx,posy,posz,rotx,roty,rotz,gazex,gazey,gazez
1,0.01504517,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9238,88.2752,358.4876,-995.438,-1000.653,-999.6628
1,0.02684021,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9342,88.38802,358.5135,-995.4374,-1000.641,-999.6692
1,0.04029083,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9445,88.48058,358.5367,-995.4368,-1000.642,-999.6782
1,0.05340576,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.926,88.56421,358.566,-995.437,-1000.625,-999.6818
1,0.06679535,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.8792,88.62256,358.5523,-995.4396,-1000.452,-999.6834
1,0.08022308,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.8528,88.6666,358.5306,-995.4421,-1000.286,-999.6935
1,0.09371185,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.8073,88.69609,358.4913,-995.4435,-1000.204,-999.6923
1,0.1071243,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.78,88.70815,358.4554,-995.4432,-1000.201,-999.6943
1,0.1204147,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.7851,88.69263,358.4466,-995.4444,-1000.152,-999.6852
1,0.1338425,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.7856,88.68565,358.4384,-995.4452,-1000.128,-999.6787
1,0.1472397,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.8261,88.6523,358.4173,-995.4454,-1000.125,-999.6728
1,0.1607208,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.8776,88.61221,358.4076,-995.4458,-1000.128,-999.67
1,0.1744308,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.8953,88.58347,358.4214,-995.4463,-1000.13,-999.6652
1,0.1876907,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9065,88.54572,358.456,-995.4467,-1000.126,-999.6624
1,0.2005081,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9051,88.53137,358.4957,-995.447,-1000.127,-999.6594
1,0.2138138,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.8858,88.52573,358.5316,-995.4471,-1000.13,-999.6624
1,0.2272186,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.8238,88.5243,358.5733,-995.4473,-1000.125,-999.6651
1,0.2405777,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.7609,88.54368,358.6011,-995.4474,-1000.12,-999.665
1,0.2538528,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.6607,88.56758,358.6241,-995.4473,-1000.112,-999.6727
1,0.2672653,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.5563,88.61494,358.6664,-995.4474,-1000.097,-999.6764
1,0.2805481,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.4223,88.65509,358.708,-995.4471,-1000.094,-999.6832
1,0.2940292,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.3026,88.71656,358.7564,-995.4473,-1000.074,-999.6876
1,0.3072586,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.086,88.76553,358.7985,-995.4473,-1000.065,-999.6924
1,0.3205338,Show Map Crossing: 0,0,0,-1000,-1000,-1000,357.7277,88.82274,358.8569,-995.4476,-1000.047,-999.6991
1,0.3338852,Show Map Crossing: 0,0,0,-1000,-1000,-1000,357.2229,88.86352,358.9189,-995.4514,-999.9078,-999.7483
1,0.3473663,Show Map Crossing: 0,0,0,-1000,-1000,-1000,356.6519,88.91609,358.9953,-995.4623,-999.6549,-999.8256
1,0.3606567,Show Map Crossing: 0,0,0,-1000,-1000,-1000,356.1155,88.9649,359.0602,-995.4672,-999.6108,-999.8293
1,0.3741913,Show Map Crossing: 0,0,0,-1000,-1000,-1000,355.6223,89.01925,359.1312,-995.4796,-999.4524,-999.8685
1,0.3872528,Show Map Crossing: 0,0,0,-1000,-1000,-1000,355.1959,89.05473,359.1932,-995.4893,-999.3642,-999.8885
1,0.4005814,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.8455,89.06781,359.2692,-995.496,-999.3222,-999.9009
1,0.4139404,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.6296,89.08459,359.2948,-995.4985,-999.3276,-999.8997
1,0.4274292,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.5192,89.10516,359.275,-995.4998,-999.3367,-999.8965
1,0.4408035,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.4987,89.13811,359.2281,-995.5019,-999.3283,-999.8983
1,0.4547119,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.5568,89.18531,359.1967,-995.4977,-999.381,-999.8911
1,0.4672623,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.6861,89.23167,359.1748,-995.4975,-999.382,-999.9197
1,0.4808502,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.9162,89.2862,359.122,-995.4963,-999.3921,-999.9233
1,0.4939804,Show Map Crossing: 0,0,0,-1000,-1000,-1000,355.1875,89.35584,359.0671,-995.4702,-999.6666,-1000.006
1,0.5074234,Show Map Crossing: 0,0,0,-1000,-1000,-1000,355.476,89.42055,359.0131,-995.4348,-1000.067,-1000.182
1,0.5206833,Show Map Crossing: 0,0,0,-1000,-1000,-1000,355.7981,89.49263,358.9609,-995.4352,-1000.09,-1000.186
1,0.5339661,Show Map Crossing: 0,0,0,-1000,-1000,-1000,356.1335,89.57433,358.9294,-995.4108,-1000.48,-999.9856
1,0.5473251,Show Map Crossing: 0,0,0,-1000,-1000,-1000,356.4923,89.66147,358.9112,-995.4221,-1000.375,-999.9914
1,0.5606766,Show Map Crossing: 0,0,0,-1000,-1000,-1000,356.833,89.75355,358.9067,-995.4305,-1000.297,-1000.001
1,0.5743103,Show Map Crossing: 0,0,0,-1000,-1000,-1000,357.1219,89.8345,358.9105,-995.4317,-1000.324,-1000.008
