trialnum,time,state,mapAngle,viewAngle,posx,posy,posz,rotx,roty,rotz,gazex,gazey,gazez
1,0.01487732,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1896,90.24831,0.2441885,-995.5201,-1000.24,-1001.363
1,0.02651978,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1868,90.25051,0.2525416,-995.5206,-1000.231,-1001.409
1,0.03999329,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.178,90.25377,0.2604321,-995.5208,-1000.225,-1001.431
1,0.05328369,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1626,90.25594,0.2687822,-995.5209,-1000.225,-1001.443
1,0.06667328,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1527,90.25229,0.270629,-995.5209,-1000.224,-1001.443
1,0.08003998,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1395,90.24733,0.2683937,-995.5208,-1000.225,-1001.444
1,0.09352112,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1255,90.23723,0.2614931,-995.5206,-1000.226,-1001.445
1,0.1072617,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1165,90.22765,0.2561482,-995.5204,-1000.225,-1001.442
1,0.1203918,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1132,90.21817,0.2551946,-995.5201,-1000.225,-1001.441
1,0.1336899,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1139,90.21152,0.257419,-995.5198,-1000.224,-1001.438
1,0.1469574,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1163,90.20641,0.262667,-995.5196,-1000.229,-1001.434
1,0.1603928,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.129,90.20775,0.272434,-995.5195,-1000.227,-1001.434
1,0.1738052,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1376,90.21055,0.2809415,-995.5194,-1000.233,-1001.426
1,0.1872177,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1459,90.22182,0.2893881,-995.5192,-1000.219,-1001.27
1,0.200592,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1449,90.23189,0.2873251,-995.5195,-1000.219,-1001.271
1,0.2137299,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.142,90.24548,0.2682273,-995.5191,-1000.16,-1000.933
1,0.2271805,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1411,90.2533,0.2456762,-995.5186,-1000.136,-1000.69
1,0.2404327,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1429,90.26158,0.2319951,-995.5184,-1000.123,-1000.569
1,0.2539749,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1436,90.26455,0.2210982,-995.5184,-1000.117,-1000.51
1,0.2673492,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1329,90.26664,0.2133676,-995.5184,-1000.117,-1000.511
1,0.2806015,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.1206,90.26339,0.2035608,-995.5183,-1000.111,-1000.48
1,0.2938004,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.106,90.2561,0.1922664,-995.5184,-1000.101,-1000.467
1,0.3073654,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.0839,90.24181,0.1864918,-995.5185,-1000.095,-1000.462
1,0.3208466,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.0607,90.22524,0.18521,-995.5184,-1000.088,-1000.451
1,0.3339462,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.0448,90.21565,0.1876982,-995.5183,-1000.086,-1000.449
1,0.3472519,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.0256,90.20451,0.1953532,-995.519,-1000.013,-1000.333
1,0.3611679,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.0005,90.19344,0.2026821,-995.5201,-999.9142,-1000.158
1,0.3738785,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9874,90.18754,0.2039263,-995.5207,-999.8673,-1000.066
1,0.3873291,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9766,90.18255,0.1950951,-995.521,-999.8436,-1000.026
1,0.4004974,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9607,90.17871,0.1826795,-995.5211,-999.8428,-1000.025
1,0.4139328,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9598,90.18029,0.1821174,-995.5214,-999.825,-1000.01
1,0.4272003,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9536,90.18468,0.1797798,-995.5215,-999.8193,-1000.003
1,0.4405441,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9542,90.20324,0.1729593,-995.5215,-999.8172,-1000.001
1,0.4538345,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9619,90.22357,0.1528379,-995.5216,-999.8143,-1000.003
1,0.4672318,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.9721,90.24632,0.1168854,-995.5216,-999.8149,-1000.004
