trialnum,time,state,mapAngle,viewAngle,posx,posy,posz,rotx,roty,rotz,gazex,gazey,gazez
1,0.01477432,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.249307,100.9643,1.26433,-995.6563,-1000.186,-1001.477
1,0.02661514,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.304518,100.9284,1.344584,-995.6311,-1000.183,-1001.353
1,0.03993607,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.379728,100.8924,1.421826,-995.6302,-1000.186,-1001.35
1,0.05332565,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.439785,100.8399,1.45951,-995.5806,-1000.206,-1001.087
1,0.06687164,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.525214,100.785,1.495381,-995.5467,-1000.222,-1000.906
1,0.08052063,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.596157,100.7263,1.519817,-995.5302,-1000.235,-1000.816
1,0.09399414,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.666684,100.6704,1.553193,-995.5225,-1000.245,-1000.772
1,0.1072159,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.695281,100.6119,1.591616,-995.5219,-1000.25,-1000.768
1,0.1204033,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.697348,100.5507,1.628677,-995.5181,-1000.248,-1000.749
1,0.1338577,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.677384,100.4948,1.650025,-995.5155,-1000.243,-1000.738
1,0.1469879,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.66777,100.437,1.662172,-995.5146,-1000.239,-1000.735
1,0.1605606,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.655657,100.3904,1.667854,-995.5131,-1000.23,-1000.73
1,0.1748543,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.650785,100.3299,1.680269,-995.5128,-1000.226,-1000.73
1,0.18713,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.644448,100.27,1.69582,-995.5119,-1000.226,-1000.726
1,0.2005043,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.626411,100.1994,1.719619,-995.5117,-1000.222,-1000.726
1,0.2138863,Show Map Crossing: 0,0,0,-1000,-1000,-1000,4.637267,100.1324,1.74645,-995.5114,-1000.22,-1000.725
